20,Lovina_Bali
28,Taito_Tokyo_Tokyo_Prefecture_Kanto
34,Manggis_Bali
37,Singaraja_Bali
39,Ungasan_Nusa_Dua_Peninsula_Bali
41,Humacao_Puerto_Rico
42,Toshima_Tokyo_Tokyo_Prefecture_Kanto
47,Meguro_Tokyo_Tokyo_Prefecture_Kanto
60,Culebra_Puerto_Rico
61,Gianyar_Bali
93,Rincon_Puerto_Rico
120,Isabela_Puerto_Rico
122,Anasco_Puerto_Rico
128,Bali
132,Ponce_Puerto_Rico
132,Tuban_Bali
133,Dorado_Puerto_Rico
160,Denpasar_Bali
170,Legian_Bali
211,Guanica_Puerto_Rico
240,Chuo_Tokyo_Tokyo_Prefecture_Kanto
251,Jimbaran_Nusa_Dua_Peninsula_Bali
273,Shibuya_Tokyo_Tokyo_Prefecture_Kanto
297,Chiyoda_Tokyo_Tokyo_Prefecture_Kanto
368,Isla_de_Vieques_Puerto_Rico
382,Kuta_Bali
384,Sanur_Bali
414,Seminyak_Bali
435,Nusa_Dua_Peninsula_Bali
480,Shinjuku_Tokyo_Tokyo_Prefecture_Kanto
515,Rio_Grande_Puerto_Rico
553,Ubud_Bali
599,El_Yunque_National_Forest_Puerto_Rico
666,Nusa_Dua_Nusa_Dua_Peninsula_Bali
715,Beijing
732,Fajardo_Puerto_Rico
836,Minato_Tokyo_Tokyo_Prefecture_Kanto
918,Frankfurt_Hesse
959,Toronto_Ontario
1009,Mexico_City_Central_Mexico_and_Gulf_Coast
1486,Venice_Veneto
2003,Carolina_Puerto_Rico
2034,Dallas_Texas
2181,Phoenix_Arizona
2870,Madrid
3470,London_England
3703,San_Juan_Puerto_Rico
3757,Berlin
3893,Miami_Florida
3949,Singapore
4324,Hong_Kong_Hong_Kong_Region
4425,Los_Angeles_California
4593,Sydney_New_South_Wales
4778,New_Orleans_Louisiana
5145,Boston_Massachusetts
5555,New_York_City_New_York
6319,Seattle_Washington
7461,Paris_Ile_de_France
8603,Florence_Tuscany
10423,Amsterdam_Noord_Holland
11663,Honolulu_Oahu_Hawaii
12138,Barcelona_Catalonia
20140,San_Francisco_California
27943,Punta_Cana_Dominican_Republic
